"","BBCA.JK.Open","BBCA.JK.High","BBCA.JK.Low","BBCA.JK.Close","BBCA.JK.Volume","BBCA.JK.Adjusted"
"219",10000,10050,9750,9750,87879600,9458.955078125
"220",10025,10225,9900,10200,126087100,9895.5224609375
"221",10175,10250,10050,10200,97876300,9895.5224609375
"222",10250,10350,10225,10250,96904400,9944.0302734375
"223",10100,10175,10050,10075,68247200,9774.25390625
"224",10025,10350,10000,10350,64458400,10041.044921875
"225",10325,10350,10275,10350,61230400,10041.044921875
"226",10225,10425,10225,10425,37934300,10113.806640625
"227",10300,10375,10175,10175,44780100,9871.2685546875
"228",10125,10225,10025,10050,75126400,9750
"229",10000,10125,10000,10100,57746100,9798.5078125
"230",9950,10050,9900,9900,99845900,9604.4775390625
"231",9900,10025,9800,9800,84868500,9507.462890625
"232",9700,9775,9550,9675,104254100,9386.1943359375
"233",9650,9750,9625,9650,91576900,9361.9404296875
"234",9700,9850,9700,9775,43292100,9483.208984375
"235",9850,9900,9750,9750,32415700,9458.955078125
"236",9800,9825,9725,9800,24016700,9507.462890625
"237",9800,9825,9675,9675,56350100,9386.1943359375
